â„–,F,A
1,5.7,10.612
2,5.8,10.612
3,5.9,10.563
4,6.0,10.503
5,6.2,10.429
6,6.4,10.431
7,6.5,10.429
8,6.6,10.360
9,6.7,9.646
10,6.8,9.205
11,6.9,9.69
12,7.1,9.54
13,7.5,8.509
14,7.8,7.269
15,8.1,6.869
16,8.3,6.729
17,8.5,5.998
18,8.7,5.565
19,8.9,4.999
20,9.1,4.780
21,9.2,4.784
22,9.3,4.791
23,9.3,4.791
24,9.2,4.794
25,9.0,4.819
26,8.7,4.841
27,8.3,4.958
28,7.9,5.300
29,7.6,5.920
30,7.2,6.515
31,7.0,6.868
32,6.7,7.765
33,6.5,8.915
34,6.4,9.513
35,6.3,9.944
36,6.2,10.311
37,6.1,10.549
38,6.0,10.672
39,5.9,10.684
